School,Conference
North Carolina,ACC
Georgia Tech,ACC
Virginia,ACC
Louisville,ACC
Syracuse,ACC
Clemson,ACC
Wake Forest,ACC
Virginia Tech,ACC
Pittsburgh,ACC
Duke,ACC
Florida St.,ACC
Boston Col.,ACC
Miami (FL),ACC
North Carolina St.,ACC
Central Florida,American Athletic
Cincinnati,American Athletic
East Carolina,American Athletic
Temple,American Athletic
South Florida,American Athletic
SMU,American Athletic
Tulane,American Athletic
Tulsa,American Athletic
Memphis,American Athletic
Houston,American Athletic
Navy,American Athletic
Dubuque,American Rivers
Central Arkansas,ASUN
Jacksonville St.,ASUN
East. Kentucky,ASUN
TCU,Big 12
Oklahoma,Big 12
Texas Tech,Big 12
Baylor,Big 12
Texas,Big 12
West Virginia,Big 12
Kansas,Big 12
Oklahoma St.,Big 12
Kansas St.,Big 12
Iowa St.,Big 12
Cal Poly,Big Sky
Idaho,Big Sky
Montana,Big Sky
Northern Arizona,Big Sky
Northern Colorado,Big Sky
UC Davis,Big Sky
Portland St.,Big Sky
Montana St.,Big Sky
Weber St.,Big Sky
Idaho St.,Big Sky
East. Washington,Big Sky
California-Davis,Big Sky
North Carolina A&T,Big South
Charleston Southern,Big South
Presbyterian,Big South
Ohio St.,Big Ten
Illinois,Big Ten
Michigan,Big Ten
Iowa,Big Ten
Wisconsin,Big Ten
Maryland,Big Ten
Nebraska,Big Ten
Purdue,Big Ten
Rutgers,Big Ten
Northwestern,Big Ten
Minnesota,Big Ten
Indiana,Big Ten
Penn St.,Big Ten
Michigan St.,Big Ten
Richmond,CAA
William & Mary,CAA
Villanova,CAA
Maine,CAA
Elon,CAA
New Hampshire,CAA
Towson,CAA
Delaware,CAA
Stony Brook,CAA
Rice,Conference USA
Louisiana Tech,Conference USA
Florida Atlantic,Conference USA
Florida International,Conference USA
Western Kentucky,Conference USA
Charlotte,Conference USA
North Texas,Conference USA
Middle Tennessee St.,Conference USA
Ala-Birmingham,Conference USA
Texas-San Antonio,Conference USA
Texas-El Paso,Conference USA
Hartwick,Empire 8
Connecticut,FBS Independents
Notre Dame,FBS Independents
BYU,FBS Independents
Liberty,FBS Independents
Army,FBS Independents
New Mexico St.,FBS Independents
Massachusetts,FBS Independents
Wayne State (MI),GLIAC
Grand Valley St.,GLIAC
Ferris St.,GLIAC
Saginaw Valley St.,GLIAC
Harding,Great American
Southern Arkansas,Great American
East Central (OK),Great American
Hillsdale,Great Midwest Athletic
Ashland,Great Midwest Athletic
Malone University (Ohio),Great Midwest Athletic
Azusa Pacific,Great Northwest Athletic
Humboldt St.,Great Northwest Athletic
West Georgia,Gulf South
Valdosta St.,Gulf South
Cornell,Ivy
Princeton,Ivy
Harvard,Ivy
Yale,Ivy
Hobart & William Smith,Liberty
West Texas A&M,Lone Star
Central Washington,Lone Star
Midwestern St.,Lone Star
North Carolina Central,MEAC
Howard,MEAC
Norfolk St.,MEAC
South Carolina St.,MEAC
Morgan St.,MEAC
Missouri Southern,MIAA
Northwest Missouri State,MIAA
Washburn,MIAA
Pittsburg St.,MIAA
Fort Hays St.,MIAA
Missouri Western St.,MIAA
Concordia (MN),MIAC
Northern Illinois,Mid-American
Central Michigan,Mid-American
Buffalo,Mid-American
Ohio,Mid-American
Miami (OH),Mid-American
Bowling Green,Mid-American
Toledo,Mid-American
Akron,Mid-American
Western Michigan,Mid-American
Ball St.,Mid-American
Kent St.,Mid-American
West. Michigan,Mid-American
West Liberty,Mountain East
Glenville State,Mountain East
New Mexico,Mountain West
Nevada,Mountain West
UNLV,Mountain West
Wyoming,Mountain West
Air Force,Mountain West
Fresno St.,Mountain West
Colorado St.,Mountain West
Boise St.,Mountain West
San Diego St.,Mountain West
Utah St.,Mountain West
San Jose St.,Mountain West
Hawaii,Mountain West
Missouri State,MVFC
South Dakota,MVFC
Southern Illinois,MVFC
Northern Iowa,MVFC
North Dakota St.,MVFC
Youngstown St.,MVFC
Illinois St.,MVFC
South Dakota St.,MVFC
Wagner,NEC
Merrimack,NEC
Sioux Falls,Northern Sun
Mount Union,OAC
Lindenwood,OVC
Tennessee Tech,OVC
Tennessee St.,OVC
Murray St.,OVC
Tennessee-Martin,OVC
East. Illinois,OVC
Utah,Pac-12
Oregon,Pac-12
USC,Pac-12
California,Pac-12
Arizona,Pac-12
Stanford,Pac-12
Washington,Pac-12
UCLA,Pac-12
Colorado,Pac-12
Arizona State,Pac-12
Oregon St.,Pac-12
Arizona St.,Pac-12
Washington St.,Pac-12
Fordham,Patriot
Lehigh,Patriot
Lafayette,Patriot
Bucknell,Patriot
Indiana (PA),Pennsylvania State Athletic
Slippery Rock,Pennsylvania State Athletic
Bloomsburg,Pennsylvania State Athletic
California (PA),Pennsylvania State Athletic
Shepherd,Pennsylvania State Athletic
Kutztown Pennsylvania,Pennsylvania State Athletic
Drake,Pioneer
Chadron St.,Rocky Mountain
LSU,SEC
Alabama,SEC
Missouri,SEC
Texas A&M,SEC
Georgia,SEC
South Carolina,SEC
Vanderbilt,SEC
Arkansas,SEC
Tennessee,SEC
Auburn,SEC
Florida,SEC
Kentucky,SEC
Mississippi St.,SEC
Mississippi,SEC
Louisiana St,SEC
Fort Valley St.,SIAC
Newberry,South Atlantic
Samford,Southern
Furman,Southern
Citadel,Southern
Tenn-Chattanooga,Southern
Nicholls St.,Southland
McNeese St.,Southland
NW State (LA),Southland
SE Louisiana,Southland
Northwestern St. (LA),Southland
Troy,Sun Belt
James Madison,Sun Belt
Marshall,Sun Belt
Coastal Carolina,Sun Belt
Georgia Southern,Sun Belt
South Alabama,Sun Belt
Louisiana,Sun Belt
Old Dominion,Sun Belt
Arkansas St.,Sun Belt
Appalachian St.,Sun Belt
Texas St.,Sun Belt
Georgia St.,Sun Belt
Southern Miss,Sun Belt
La-Monroe,Sun Belt
Louisiana-Lafayette,Sun Belt
Florida A&M,SWAC
Alabama A&M,SWAC
Prairie View,SWAC
Southern,SWAC
Alcorn St.,SWAC
Jackson St.,SWAC
Alabama St.,SWAC
Ark-Pine Bluff,SWAC
Abilene Christian,Western Athletic
Stephen F. Austin,Western Athletic
Southern Utah,Western Athletic
Sam Houston St.,Western Athletic
Dixie State,Western Athletic
